,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
769,864691135700475426,864691136273725118,29424,4231,1655,0.1668113560007016,L2/3,L5
797,864691135155894884,864691134989272442,6740,2145,7768,-0.010011452341706606,L2/3,L5
798,864691135749181225,864691134989272442,2564,3132,7768,0.19577870508694994,L2/3,L5
799,864691135701034107,864691134989272442,9084,410,7768,0.10015512025331887,L2/3,L5
801,864691136092174260,864691134989272442,15368,232,7768,0.23915879217318092,L2/3,L5
807,864691136953057759,864691134989272442,29364,12006,7768,0.2238511869643074,L2/3,L5
810,864691136926540362,864691134989272442,5400,3440,7768,-0.021756683833954446,L2/3,L5
811,864691135992618689,864691134989272442,7320,388,7768,0.21422234240911509,L2/3,L5
813,864691135155894884,864691135735628436,18052,2145,3652,0.23917205033245426,L2/3,L5
814,864691135155894884,864691135356033231,26108,2145,3657,0.049304460982386944,L2/3,L5
815,864691136108938168,864691135356033231,10792,411,3657,0.11110955504357851,L2/3,L5
819,864691135564752407,864691135356033231,1984,7304,3657,0.014138184331278671,L2/3,L5
824,864691135155894884,864691135489164602,8252,2145,3744,0.07143918930696319,L2/3,L5
825,864691135952121379,864691135489164602,2800,5292,3744,0.017760277110300947,L2/3,L5
831,864691135155894884,864691135859300200,2184,2145,9477,-0.003427517888982912,L2/3,L5
832,864691135919485872,864691135859300200,1864,10805,9477,-0.10480288746875936,L2/3,L5
834,864691136066733720,864691135859300200,520,25,9477,0.03798831887796933,L2/3,L5
836,864691135155894884,864691136090184247,3772,2145,4715,0.1885158924451759,L2/3,L5
837,864691135724453547,864691136090184247,2332,110,4715,-0.046934521621071916,L2/3,L5
838,864691135684657079,864691136090184247,8380,8179,4715,0.21905877714102728,L2/3,L5
839,864691136452081151,864691136090184247,6088,1112,4715,0.042598516605224186,L2/3,L5
840,864691135155894884,864691135479360966,31188,2145,2803,0.20986635566542894,L2/3,L5
841,864691135591041291,864691135479360966,18156,2091,2803,0.15991064144849507,L2/3,L5
842,864691135066182980,864691135479360966,232,4554,2803,-0.0050066821402727935,L2/3,L5
921,864691135155894884,864691136595418786,20736,2145,7094,0.18093122647924229,L2/3,L5
922,864691135952121379,864691136595418786,2408,5292,7094,0.15608456372705923,L2/3,L5
938,864691135155894884,864691135940634534,11100,2145,1597,0.10658920434594439,L2/3,L5
940,864691134884807418,864691135940634534,1440,8075,1597,0.3086571885638306,L2/3,L5
965,864691135155894884,864691135693555647,10988,2145,1719,0.03868014306638005,L2/3,L5
966,864691135582733933,864691135693555647,14816,3567,1719,0.03172172950480212,L2/3,L5
967,864691135759091534,864691135693555647,812,329,1719,-0.21689689508532572,L2/3,L5
968,864691135737395076,864691135693555647,3900,3194,1719,0.16302940890125997,L2/3,L5
969,864691135468597132,864691135693555647,10416,4055,1719,0.2937473541744813,L2/3,L5
