,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
10805,864691136005487562,864691136040027902,3664,12038,2796,0.08265174800174226,L2/3,L5,208.71716119188667
10809,864691135855890478,864691136040027902,384,1175,2796,-0.023458447674182287,L2/3,L5,312.7238127165886
10810,864691135561573601,864691136040027902,17944,5263,2796,-0.03973655499296685,L2/3,L5,293.5134725902714
10812,864691135749181225,864691136312829245,5280,3132,7794,0.507112356526615,L2/3,L5,368.31647609087497
10813,864691135614771147,864691136312829245,2032,4673,7794,0.33690084878697657,L2/3,L5,264.7170558917578
10814,864691136488048914,864691136312829245,1508,4161,7794,-0.028172699497478793,L2/3,L5,376.86713363730723
10815,864691136953057759,864691136312829245,3188,12006,7794,0.08000147155438973,L2/3,L5,290.2514595312141
10816,864691135976710979,864691136312829245,14056,6233,7794,0.03580097383575133,L2/3,L5,410.1262469435479
10817,864691135213709624,864691136312829245,6916,12064,7794,0.01207531620742108,L2/3,L5,301.55772403969365
10872,864691135387675521,864691135469312594,48136,2079,871,0.0900204805063168,L2/3,L5,367.2786482223001
10873,864691136040443134,864691135469312594,1708,234,871,0.09631547321017268,L2/3,L5,283.0044486434798
10874,864691135213650232,864691135469312594,20608,4054,871,0.29874959920504385,L2/3,L5,388.69581954016434
10875,864691135594123307,864691135469312594,26692,8573,871,-0.01400086518897159,L2/3,L5,323.20780188603123
10876,864691135397503777,864691135469312594,2828,5154,871,-0.1621894706835467,L2/3,L5,404.3847375952757
10877,864691135495429264,864691135469312594,7860,3139,871,0.30343908983684936,L2/3,L5,375.05386331032514
10878,864691135645645039,864691135469312594,10900,24,871,-0.050030180274913925,L2/3,L5,432.3506571661479
10879,864691136041780566,864691135469312594,61420,11104,871,0.1043245326732321,L2/3,L5,357.43245148699083
10882,864691135469422674,864691135469312594,6296,6391,871,-0.2706351579345196,L2/3,L5,326.17193846191
10883,864691135855890478,864691135469312594,2752,1175,871,0.06987150077140866,L2/3,L5,367.9900347346379
10885,864691136004983754,864691135469312594,50772,1128,871,-0.08291538176817674,L2/3,L5,663.835635415876
10887,864691135213709624,864691135469312594,7048,12064,871,0.25230299720450927,L2/3,L5,306.1842645205661
10889,864691135749133097,864691135469312594,30972,11478,871,0.0018694488996753719,L2/3,L5,352.30579526314926
10968,864691135701034107,864691136389298295,1948,410,3741,0.19788124215423883,L2/3,L5,198.8375414050375
10970,864691136953057759,864691136389298295,5252,12006,3741,-0.03827114598669411,L2/3,L5,212.86823868299373
10972,864691135855890478,864691136389298295,2580,1175,3741,0.19283702297637118,L2/3,L5,295.35684505357244
10973,864691135947212897,864691136389298295,2592,2175,3741,-0.024026290031047608,L2/3,L5,280.11172456718054
11210,864691135273490193,864691135565147159,752,2594,1740,0.08782110771673321,L2/3,L5,151.86663285922938
11211,864691136488048914,864691135565147159,32724,4161,1740,0.03853090708375088,L2/3,L5,307.19404827567865
11212,864691135407825609,864691135565147159,1200,4421,1740,0.10589552704826176,L2/3,L5,167.96303002744378
11213,864691135397503777,864691135565147159,56472,5154,1740,0.003594130701298644,L2/3,L5,318.23941769680255
11214,864691135013978774,864691135565147159,35584,11791,1740,-0.03464598018841643,L2/3,L5,251.98198399091942
11326,864691136602371025,864691135475228480,1720,7294,862,-0.22198402011956933,L2/3,L5,626.9741538277316
11327,864691135926952148,864691135475228480,30488,224,862,0.1340358315728179,L2/3,L5,325.06219958647927
11328,864691135349437655,864691135475228480,3764,11117,862,0.26259817814314435,L2/3,L5,376.2515278693231
11329,864691135469422674,864691135475228480,2468,6391,862,0.2962560574369764,L2/3,L5,359.27111928458714
11382,864691135701034107,864691135495050384,20724,410,865,0.05620534676081471,L2/3,L5,288.53859682198504
11384,864691135501703746,864691135495050384,5264,7957,865,-0.056815592446768266,L2/3,L5,749.0230396456441
11385,864691135491167207,864691135495050384,1492,7980,865,0.014636835474052218,L2/3,L5,728.3654924720142
11386,864691136136766589,864691135495050384,33908,436,865,0.3006667604617963,L2/3,L5,730.0149634411613
11398,864691135349437655,864691136042006870,1404,11117,2758,-0.10017563602253131,L2/3,L5,301.0126993732989
11400,864691135416233914,864691136042006870,2900,5308,2758,-0.07084301552126225,L2/3,L5,456.28862171217907
11401,864691135975539779,864691136042006870,304,7986,2758,0.08012288626055837,L2/3,L5,537.2693881024677
11416,864691135919483824,864691135538768754,5120,3472,4776,0.08963017128531942,L2/3,L5,132.2829684577723
11427,864691135491167207,864691135915943014,27036,7980,9495,-0.02494698011216298,L2/3,L5,586.434965833382
11430,864691135692949951,864691135915943014,2104,7295,9495,-0.051024208374883535,L2/3,L5,571.0859003127289
11431,864691135940847270,864691135915943014,1108,8212,9495,-0.06675688579285464,L2/3,L5,460.44018347663786
11432,864691135716190490,864691135915943014,9268,8051,9495,-0.06130060016108348,L2/3,L5,601.0287042729323
11441,864691135614771147,864691136602344145,11516,4673,6042,0.23150647789584738,L2/3,L5,305.8710480709149
11442,864691136209328060,864691136602344145,6700,5517,6042,-0.05810423030567394,L2/3,L5,334.427828220081
11443,864691135782702387,864691136602344145,23072,497,6042,0.048045550325301695,L2/3,L5,364.98083693257104
11444,864691134941194851,864691136602344145,3628,8762,6042,-0.018214035781240385,L2/3,L5,344.69611214517636
11448,864691135491205735,864691136602344145,28924,4507,6042,0.060048677980083176,L2/3,L5,810.366085015902
11449,864691135953985800,864691136602344145,15328,333,6042,-0.02090146976576812,L2/3,L5,318.6943094063651
11450,864691135463695429,864691136602344145,896,484,6042,0.13307199693794275,L2/3,L5,758.228610676226
11515,864691135658054274,864691135234076505,15620,7266,6019,0.05640726827699169,L2/3,L5,715.6599888550428
11757,864691135749181225,864691135590909963,5956,3132,9511,0.3226313736693074,L2/3,L5,385.9362969195823
11758,864691136602371025,864691135590909963,3752,7294,9511,-0.16813146015721828,L2/3,L5,603.5684241442722
11759,864691136287598787,864691135590909963,1616,2501,9511,0.0016701960831572475,L2/3,L5,272.89280485934404
11761,864691135501703746,864691135590909963,7052,7957,9511,-0.03985743978167499,L2/3,L5,656.1871413065027
11762,864691135469422674,864691135590909963,23436,6391,9511,-0.0178549643950483,L2/3,L5,227.60143816768823
11790,864691135749181225,864691136090115383,27176,3132,3742,0.3302194069060818,L2/3,L5,331.1226299001625
11791,864691135292991414,864691136090115383,2108,4056,3742,-0.026775907094138695,L2/3,L5,337.46626213593555
11867,864691135749181225,864691135838245779,19708,3132,7792,0.043054807859135624,L2/3,L5,386.23489582377204
11893,864691135749181225,864691135866526085,7952,3132,7078,0.2921503686026823,L2/3,L5,404.94327211598414
11895,864691135782702387,864691135866526085,37020,497,7078,0.08903700790321108,L2/3,L5,355.5808020914516
11897,864691135469422674,864691135866526085,612,6391,7078,-0.06029972137453255,L2/3,L5,252.32969734060245
12036,864691135334986985,864691136228203857,22992,2084,3750,0.012595460048311346,L2/3,L5,261.93292686487507
12037,864691135133615264,864691136228203857,700,5607,3750,0.16950169421692218,L2/3,L5,178.80934293263303
12038,864691136990522517,864691136228203857,9292,8726,3750,-0.02227337479627636,L2/3,L5,281.6102253825311
12039,864691135213650232,864691136228203857,11540,4054,3750,0.04027611403556643,L2/3,L5,291.4294639874287
