,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
2958,864691136195208424,864691136953041887,13560,4423,9053,0.1998031921582607,L4a,L3c,77.19718668449
2959,864691135749133097,864691136953041887,25980,11478,9053,0.11863557053240222,L3a,L3c,54.22898354201377
2960,864691135777851232,864691136953041887,21948,1393,9053,0.0772881830895254,L4a,L3c,96.20616263005199
2961,864691135594164523,864691136953041887,24420,7236,9053,0.023009582387959058,L3c,L3c,41.641431675676124
2964,864691135874675854,864691135916301158,19460,1475,620,0.007044176101829712,L4a,L4a,76.86027634610744
2965,864691137198217793,864691135916301158,13252,10144,620,0.2688203699485736,L4b,L4a,75.45063975871909
2977,864691134918495498,864691135782702387,14476,5882,497,-0.008794445365237746,L4c,L3c,180.68854051101306
2981,864691135916172390,864691135782702387,10920,9729,497,-0.04209450400856237,L4a,L3c,133.13029287130706
2982,864691136106122969,864691135782702387,20304,8895,497,0.1082680658265244,L3c,L3c,33.01981756460803
2983,864691136085404268,864691135782702387,11392,4430,497,-0.03011487456596439,L4a,L3c,142.2299067285077
2984,864691134918495498,864691135469065810,11720,5882,6755,0.06612689316962608,L4c,L4c,63.6160689134436
2985,864691135874675854,864691135469065810,19172,1475,6755,0.15547827399657824,L4a,L4c,110.08033982505688
2987,864691136578707732,864691135469065810,9500,2538,6755,-0.030693854446573552,L4a,L4c,123.7636488149893
2993,864691135615222475,864691135464602693,13460,4589,2785,0.358400506862938,L4a,L4c,214.7817712935621
2994,864691135208943225,864691135464602693,13448,10140,2785,0.24636731785034793,L4b,L4c,172.95816243242183
2996,864691135517063379,864691135464602693,15368,3409,2785,0.3675823887173554,L4a,L4c,173.2961359061419
3002,864691134918495498,864691135123267623,9176,5882,398,-0.07892091462020165,L4c,L3b,237.4547321575209
3005,864691136423787567,864691135123267623,14228,5010,398,0.05703468875746028,L6a,L3b,398.01247473917203
3019,864691135013978774,864691135684193266,36920,11791,4523,0.3172877064758366,L3a,L3b,153.4352658289482
3021,864691135441749320,864691136124491046,8484,10239,10791,0.3240205196542183,L4b,L2a,181.40617956398293
3024,864691135213650232,864691136124491046,11276,4054,10791,-0.11717832707432335,L2a,L2a,87.4026928646938
3026,864691135502623157,864691136124491046,18120,233,10791,-0.04248567355865726,L3c,L2a,105.7729311307955
3027,864691136009055404,864691136124491046,11092,5428,10791,-0.013746046960338447,L3c,L2a,126.21822372383478
3028,864691135572379429,864691136124491046,12932,11127,10791,0.28535638642098277,L2a,L2a,112.21988273028983
3032,864691134918495498,864691135182405378,23736,5882,7241,0.1913393343504628,L4c,L3c,197.6036121127343
3037,864691135856895534,864691135182405378,9912,6567,7241,0.14375386260020154,L3b,L3c,52.92416914794213
3041,864691135502623157,864691135182405378,36508,233,7241,0.20048434353612427,L3c,L3c,38.090506953833
3043,864691136330042858,864691135182405378,10124,11222,7241,0.09762241777408298,L3a,L3c,56.98950303345351
3044,864691135661523184,864691135182405378,8320,5435,7241,-0.13342326702189755,L3c,L3c,85.21053831539848
3045,864691134918495498,864691137020596078,8128,5882,11303,-0.16214982067207298,L4c,L3a,255.79060949143536
3047,864691134918495498,864691135975554415,13412,5882,3029,0.22005804838799842,L4c,L2a,274.3203205597427
3050,864691134918495498,864691136297458203,19344,5882,10795,0.05208860386386969,L4c,L2a,254.80345680543655
3053,864691135059717787,864691136297458203,8096,10489,10795,-0.03216839364909429,L4b,L2a,177.10468804636432
3055,864691135730816441,864691136297458203,21784,7308,10795,0.2564355249940861,L3b,L2a,75.61602708421019
3059,864691135701034107,864691135687917280,14352,410,8595,0.2619112529342239,L3c,L3a,32.88006715321606
3063,864691136009055404,864691135687917280,11676,5428,8595,-0.00999449799942692,L3c,L3a,91.84224701083922
3066,864691136334904499,864691135687917280,13984,1507,8595,0.03310745727022942,L3c,L3a,114.67029439222694
3069,864691135852005063,864691136009504430,19516,9731,6817,0.25016508421974737,L4b,L4c,75.13664437543105
3072,864691135565709655,864691136009504430,18204,9811,6817,0.286233701320963,L4a,L4c,74.25801333189573
3074,864691135495472528,864691136009504430,8928,7583,6817,0.13061192401748492,L4b,L4c,113.41472920216306
3075,864691135838392723,864691136009504430,16908,4422,6817,0.026983315027166287,L4a,L4c,132.02517578098497
3080,864691134918495498,864691135416418234,11996,5882,11078,0.010582703612659911,L4c,L3a,280.4848542648961
3082,864691135397503777,864691135416418234,36460,5154,11078,0.23889042355817353,L2a,L3a,193.5793979120713
3083,864691134918495498,864691135889087881,8020,5882,6422,0.11752975796817866,L4c,L3c,175.013242561813
3084,864691135857146158,864691135889087881,9464,1361,6422,0.33097437623414216,L4a,L3c,59.6441205819987
3085,864691135473146162,864691135889087881,17564,4438,6422,0.2442140767197817,L4a,L3c,65.00224882263689
3086,864691135701034107,864691135889087881,18348,410,6422,0.25924219051926467,L3c,L3c,18.253132114790613
3088,864691136488048914,864691135889087881,10720,4161,6422,0.01515214750431709,L3a,L3c,117.85731441026473
3091,864691135857222958,864691135889087881,8660,10484,6422,0.18101650887360402,L4a,L3c,94.88299792902842
3095,864691134918514698,864691135889087881,13900,2403,6422,0.24351918542911227,L4a,L3c,54.11886177664864
3097,864691135700475426,864691135889087881,8760,4231,6422,0.21596844046763986,L2b,L3c,114.73225290213732
3098,864691135938155573,864691135889087881,9244,4094,6422,0.27607662940992445,L2a,L3c,109.533144280624
3100,864691134918495498,864691136085283180,19196,5882,11456,0.03135366208512573,L4c,L3c,240.80239533692347
3102,864691135135756569,864691136085283180,19556,2406,11456,0.28154491994275843,L3c,L3c,191.4465837564097
3104,864691135755884754,864691135808344861,9456,5503,5652,0.034946311413957105,L3b,L3c,133.2880256887316
3105,864691135135756569,864691135808344861,8444,2406,5652,0.2960713620902011,L3c,L3c,141.05790289097587
3107,864691135182405378,864691135808344861,8852,7241,5652,-0.16377870056534882,L3c,L3c,172.94505393332295
3108,864691135491711975,864691135808344861,12604,440,5652,-0.0029794213492306725,L3b,L3c,107.77373869361682
3109,864691135615222475,864691135808344861,13736,4589,5652,0.43992644292552674,L4a,L3c,99.90171457988093
3111,864691134918495498,864691135492223327,11468,5882,11978,-0.07854366452552147,L4c,L3b,250.4585030698698
3114,864691135725305515,864691135492223327,10224,247,11978,-0.08893547913807306,L3b,L3b,238.74665172940115
3119,864691135273295377,864691135013895574,25256,11105,4399,0.01363527786717015,L2a,L3c,146.52300668495715
3126,864691135279409057,864691135013895574,23072,619,4399,-0.07255404162070804,L4a,L3c,156.09969183826087
3130,864691134918495498,864691135772430155,13948,5882,8770,0.27319503378323384,L4c,L3b,215.45727372265713
3131,864691135135756569,864691135772430155,17644,2406,8770,0.20877850251443308,L3c,L3b,200.76740851044525
3133,864691136674054791,864691135772430155,23100,1343,8770,0.0665045090011157,L4a,L3b,164.7597465402275
3138,864691135753932237,864691135654676930,22232,4563,4408,0.20529842517877706,L4a,L3c,206.59636194279906
3142,864691135473146162,864691136236737295,38516,4438,9232,-0.046990731744716664,L4a,L4c,115.01766709510329
3143,864691136419698583,864691136236737295,15404,1487,9232,-0.14123746545584048,L4b,L4c,135.85209675231377
3145,864691135753932237,864691136236737295,10280,4563,9232,-0.011731776993719271,L4a,L4c,205.3804374715372
3147,864691135685289655,864691136236737295,11884,10631,9232,-0.021453290775484662,L4a,L4c,132.6699838245261
3148,864691135856845358,864691136236737295,23724,8718,9232,-0.007761929774385865,L3b,L4c,200.12367184318805
3149,864691135857302830,864691136236737295,27664,1360,9232,-0.012137576444409739,L4b,L4c,122.14280979247201
3152,864691136663288030,864691136236737295,8500,9892,9232,0.23349695583028526,L4b,L4c,108.44590408125151
3156,864691134918495498,864691134948056316,9176,5882,5799,0.26060902034410405,L4c,L4c,48.38908967938943
3157,864691135874675854,864691134948056316,11916,1475,5799,0.07392502789338173,L4a,L4c,95.81318489644318
3158,864691135701561723,864691134948056316,11180,9730,5799,0.41226964294609775,L4a,L4c,96.49846357326108
3165,864691136066697624,864691136020919032,14292,8394,630,0.07179785882546802,L4b,L4a,37.01781192885387
3167,864691136602949841,864691136020919032,13968,5812,630,0.12290328741172069,L4a,L4a,98.93394515534088
3168,864691135429763120,864691136020919032,32616,88,630,-0.09633961338905042,L3b,L4a,662.8192069154303
3171,864691135725388459,864691135234069081,31008,1405,1674,-0.010791076871261398,L4a,L5a,184.44307002433024
3172,864691136674054791,864691135234069081,17728,1343,1674,0.18426654172952553,L4a,L5a,221.57030977998835
3177,864691135511671504,864691136362339298,20268,10151,7492,0.3157782481828081,L4a,L4b,148.85421313486557
3179,864691135591291659,864691134965486879,39336,2557,6511,0.2051268386691746,L3c,L3b,55.21162138535688
3182,864691136066697624,864691134965486879,19504,8394,6511,0.22344871969618624,L4b,L3b,114.59094358630611
3184,864691135361192007,864691134965486879,13076,10136,6511,0.07442650681501436,L4a,L3b,76.73824850750768
3188,864691135885042032,864691134965486879,23764,2549,6511,-0.09001315881300018,L4a,L3b,81.94683349587099
3189,864691136488048914,864691134965486879,14888,4161,6511,0.3137577018100542,L3a,L3b,125.7977795670496
3191,864691135591350283,864691134965486879,13956,9200,6511,0.3356345402481673,L4c,L3b,129.27825964175108
3196,864691134965653279,864691134965486879,17796,5445,6511,-0.07266539745157267,L4a,L3b,21.719591893035204
3202,864691135759652174,864691134965486879,17948,682,6511,0.4205040246894279,L4a,L3b,116.18823486050555
3203,864691135572379429,864691134965486879,40512,11127,6511,0.11812910147528492,L2a,L3b,82.75051506788343
3206,864691135279377569,864691134965486879,21772,7562,6511,0.16032093170114645,L4a,L3b,86.26813084795569
3208,864691136085404268,864691134965486879,12224,4430,6511,0.026194397868916613,L4a,L3b,53.098831926888955
3215,864691135778216893,864691135661609200,8948,7591,8597,-0.2689239664880782,L4a,L3b,182.85347156671648
3217,864691136953057759,864691135661609200,13204,12006,8597,-0.07717734340466753,L3b,L3b,85.861978546968
3222,864691136066697624,864691135355993295,13460,8394,5805,-0.2512497403747518,L4b,L4c,55.09610396389206
3224,864691135916172390,864691135355993295,18576,9729,5805,0.23259272047130256,L4a,L4c,110.46995580699752
3227,864691135591291659,864691136040509694,13184,2557,4864,0.0773522327326429,L3c,L4c,153.4628529384228
3228,864691135874675854,864691136040509694,8320,1475,4864,0.2603218393241376,L4a,L4c,132.8581578677049
3229,864691137198217793,864691136040509694,23576,10144,4864,-0.023778028388125514,L4b,L4c,110.46397943221126
3230,864691135726562367,864691136040509694,10568,7497,4864,0.15851321226479614,L4b,L4c,141.2549386605651
3232,864691136023889209,864691136040509694,14124,10490,4864,0.024476971978391875,L4a,L4c,134.14238166962738
3239,864691135725354411,864691135059722139,19936,714,679,0.44553966128780154,L4b,L4b,71.89083991719664
3242,864691135349478615,864691135059722139,12476,3400,679,0.06504131416405745,L4a,L4b,92.40895402502939
3243,864691136195396684,864691135059722139,10280,10322,679,0.07963816698713642,L4b,L4b,57.13846704278997
3245,864691136974726940,864691135059722139,9060,1448,679,0.21967123339300254,L4a,L4b,74.65843502244061
3246,864691136974714396,864691135059722139,9632,4437,679,0.06597682215137486,L4a,L4b,104.37840849524389
3254,864691136378815445,864691135066091332,11380,1389,11136,-0.10153525658492926,L4a,L3a,262.7980200838659
3256,864691136974714396,864691135066091332,47724,4437,11136,0.00020171528449505733,L4a,L3a,181.93435651355136
3258,864691135256861871,864691135066091332,8136,1677,11136,0.32471973783573843,L6a,L3a,299.8024148268322
3260,864691135591291659,864691135782992179,28656,2557,11798,0.03825732478723734,L3c,L3b,104.99635742253157
3262,864691136209328060,864691135782992179,24188,5517,11798,0.03444404856002537,L3c,L3b,127.78920242336596
3266,864691135334986985,864691135782992179,15860,2084,11798,0.058631510289088896,L3a,L3b,72.93333942717828
3267,864691135754259661,864691135782992179,10048,12008,11798,0.19682520735531425,L3c,L3b,34.06271956259516
3272,864691135867704342,864691135782992179,41616,11113,11798,-0.01854723970110388,L3a,L3b,35.24702404459132
3274,864691135591291659,864691136009420974,11192,2557,2487,0.29366040605373595,L3c,L4a,89.76178679148491
3281,864691135374854985,864691136009420974,14664,3398,2487,0.1603701672436362,L4a,L4a,90.38846262659847
