,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
12080,864691135783492659,864691135859753832,4768,2529,6216,0.203389852610483,L4,L2/3
12086,864691135783492659,864691135475751744,14592,2529,10974,0.1961047786132315,L4,L2/3
12088,864691135759652174,864691135475751744,8096,682,10974,0.4738792216889661,L4,L2/3
12089,864691135783492659,864691135851390919,2664,2529,7256,-0.018946669162258175,L4,L2/3
12092,864691135783492659,864691135065740100,11404,2529,7217,0.08180697628669736,L4,L2/3
12093,864691134941133667,864691135065740100,1932,716,7217,-0.09936696070852026,L4,L2/3
12096,864691136663288030,864691135065740100,4812,9892,7217,-0.2249976858093137,L4,L2/3
12099,864691135783492659,864691135661592304,8972,2529,5152,0.2579121589511274,L4,L2/3
12104,864691135783492659,864691135441386568,3084,2529,11546,-0.08040353836219122,L4,L2/3
12107,864691136974714396,864691135441386568,1804,4437,11546,-0.08423967066446142,L4,L2/3
12109,864691135783492659,864691135477067176,3780,2529,3054,0.014035560948737986,L4,L2/3
12115,864691135857302830,864691135477067176,11692,1360,3054,0.18787823651903637,L4,L2/3
12117,864691136378815445,864691135477067176,5268,1389,3054,0.010658786486229307,L4,L2/3
12118,864691135777851232,864691135477067176,660,1393,3054,0.13081054218918683,L4,L2/3
12120,864691135783492659,864691135394662389,17436,2529,1127,-0.07631487900548313,L4,L2/3
12123,864691135783492659,864691135511357904,18496,2529,11772,0.02007214089216984,L4,L2/3
12132,864691135783492659,864691136106536665,21060,2529,11982,0.03744250673252275,L4,L2/3
12133,864691135783492659,864691136024440633,3664,2529,268,-0.015140029115531148,L4,L2/3
12166,864691136066697624,864691136056364760,10104,8394,6393,-0.08183096545198996,L4,L2/3
12180,864691135441749320,864691135737559940,17276,10239,4599,0.004682616951535197,L4,L2/3
12203,864691135059722139,864691135279429025,9096,679,213,0.12880968881891236,L4,L2/3
12224,864691135857222958,864691135560860385,16436,10484,5536,-0.1230721457103969,L4,L2/3
12226,864691135726649663,864691135560860385,4508,6848,5536,0.12826965573711546,L4,L2/3
12244,864691135857222958,864691135855890478,2592,10484,1175,0.08369308310725816,L4,L2/3
12290,864691136484049708,864691136312792893,27140,3527,4670,0.20753792970718998,L4,L2/3
12298,864691136578707732,864691135772726267,7224,2538,11543,-0.0431757886505101,L4,L2/3
12305,864691135349531607,864691135761545270,5608,9750,11516,0.10239685554317504,L4,L2/3
12325,864691135916172390,864691135469023826,9632,9729,11677,-0.2010237057576506,L4,L2/3
12328,864691135383993579,864691135469023826,4624,10283,11677,0.08141101876316804,L4,L2/3
12331,864691135726649663,864691135469023826,24592,6848,11677,0.07120600849569735,L4,L2/3
12334,864691135916172390,864691135976638787,22564,9729,3016,0.2843008874832113,L4,L2/3
12341,864691135395187189,864691135526629723,2408,10491,1213,0.20241443273180787,L4,L2/3
12344,864691136052035059,864691136618399373,664,771,11471,-0.1091230035116591,L4,L2/3
12354,864691136066697624,864691135738520689,2132,8394,11488,-0.17221007918251766,L4,L2/3
12357,864691136362747874,864691136275202317,3720,1352,4057,0.10596847641327276,L4,L2/3
12359,864691135517063379,864691136275202317,9492,3409,4057,0.07730257248734661,L4,L2/3
12367,864691135969949285,864691135545279016,15052,5677,7268,-0.0362540546862268,L4,L2/3
12377,864691135591350283,864691136227899729,13552,9200,3025,0.12674045861132727,L4,L2/3
12384,864691137019596142,864691135570103174,27980,698,7908,-0.056437705355672,L4,L2/3
12392,864691136228125521,864691135387702401,24132,8582,1085,0.10412801925538039,L4,L2/3
12396,864691135916172390,864691135387702401,28224,9729,1085,0.1360354376171084,L4,L2/3
12399,864691135279377569,864691135387702401,12208,7562,1085,0.05508929348545835,L4,L2/3
12400,864691136085404268,864691135387702401,7964,4430,1085,0.01439346712803135,L4,L2/3
12412,864691136228125521,864691135355809743,7760,8582,11290,-0.013694629384805802,L4,L2/3
12414,864691136578707732,864691135355809743,18096,2538,11290,-0.11170019302987899,L4,L2/3
12416,864691136228125521,864691136092174260,2776,8582,232,0.19997237647983476,L4,L2/3
12423,864691135374854985,864691136092174260,172,3398,232,0.0786827671443544,L4,L2/3
12425,864691136228125521,864691135859432296,17720,8582,4090,-0.061177614172076795,L4,L2/3
12427,864691135517063379,864691135859432296,9352,3409,4090,-0.006103008135975454,L4,L2/3
12453,864691136228125521,864691135498461971,15912,8582,2098,0.08706266938047086,L4,L2/3
12464,864691136228125521,864691135560492001,2088,8582,12024,0.05678322467485491,L4,L2/3
12477,864691135367058169,864691135497743635,6984,1658,3625,-0.020492880860921714,L4,L2/3
12486,864691135367058169,864691136595494306,3320,1658,3040,0.025656792735711125,L4,L2/3
12490,864691135367058169,864691135915225446,4940,1658,4099,-0.03595611070651083,L4,L2/3
12495,864691135367058169,864691135952122147,1272,1658,7988,-0.05782150415393008,L4,L2/3
12500,864691135367058169,864691136437300894,22420,1658,7107,0.007695976182638884,L4,L2/3
12502,864691135367058169,864691135570747117,1808,1658,7842,-0.0948206594993574,L4,L2/3
12503,864691135367058169,864691136487224850,18308,1658,11726,-0.027351138515514378,L4,L2/3
12505,864691135807579933,864691136487224850,25104,1259,11726,-0.07210725552524914,L4,L2/3
12508,864691135367058169,864691135661074928,6368,1658,11307,-0.1280498773542694,L4,L2/3
12516,864691135367058169,864691135876507987,356,1658,11708,-0.06220046370860311,L4,L2/3
12518,864691135915343462,864691135876507987,5356,509,11708,0.07397318422915432,L4,L2/3
12521,864691135367058169,864691135213801344,57828,1658,11379,-0.08815327416872944,L4,L2/3
12529,864691135367058169,864691136209021372,24428,1658,11925,-0.07064154196897304,L4,L2/3
12534,864691135367058169,864691137020061294,2572,1658,7243,0.1415871117141147,L4,L2/3
12537,864691136362747874,864691137020061294,812,1352,7243,-0.020535659913599184,L4,L2/3
12544,864691135367058169,864691135510978512,4136,1658,487,-0.02765893200072342,L4,L2/3
12547,864691135367058169,864691135498269715,9968,1658,11700,-0.06288178450777053,L4,L2/3
12555,864691135367058169,864691135889328777,4584,1658,11304,0.020583066881732157,L4,L2/3
12559,864691135367058169,864691135772684363,7596,1658,2071,0.21031655506820596,L4,L2/3
12562,864691135367058169,864691135687985888,3316,1658,2252,-0.00038450955626040514,L4,L2/3
12579,864691135367058169,864691135359010904,14604,1658,483,0.005818416515803143,L4,L2/3
12583,864691135367058169,864691135570288262,6356,1658,3097,0.021625995072509847,L4,L2/3
12585,864691135807579933,864691135570288262,4716,1259,3097,0.11449924505684037,L4,L2/3
12587,864691135367058169,864691135718996273,7700,1658,3145,0.007116293435373428,L4,L2/3
12590,864691135367058169,864691136296849691,6744,1658,77,-0.08563973553687242,L4,L2/3
